,lr,optimizer,activation,batch_size,max_epochs,hidden_layers
298,0.01,bgd,sigmoid,32,800,"[8, 8, 8]"
299,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
300,0.002,bgd,tanh,32,200,"[8, 8, 8]"
301,0.002,sgd,sigmoid,32,800,"[8, 8, 8]"
302,0.002,bgd,tanh,32,200,"[8, 8, 8]"
303,0.002,bgd,relu,32,200,"[8, 8, 8]"
304,0.002,sgd,relu,32,200,"[8, 8, 8]"
305,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
306,0.002,bgd,sigmoid,32,200,"[16, 16]"
307,0.002,bgd,sigmoid,32,200,"[16, 8]"
308,0.002,mbgd,sigmoid,32,200,"[8, 16]"
309,0.01,bgd,sigmoid,32,800,"[8, 16]"
310,0.01,bgd,sigmoid,32,200,"[16, 8]"
311,0.002,bgd,sigmoid,32,200,"[16, 16]"
312,0.01,bgd,tanh,32,200,"[16, 8]"
313,0.002,mbgd,sigmoid,32,800,"[8, 8, 8]"
314,0.002,bgd,tanh,32,200,"[16, 16]"
315,0.002,bgd,sigmoid,32,200,"[16, 16]"
316,0.01,bgd,sigmoid,32,800,"[16, 16]"
317,0.002,sgd,signum,16,200,"[16, 8]"
318,0.05,mbgd,tanh,32,800,"[8, 8]"
319,0.01,bgd,tanh,32,200,"[16, 8]"
320,0.01,mbgd,sigmoid,32,200,"[16, 8]"
321,0.002,mbgd,sigmoid,32,800,"[16, 16]"
322,0.002,bgd,tanh,32,800,"[16, 8]"
323,0.002,bgd,tanh,32,200,"[16, 16]"
324,0.01,bgd,sigmoid,32,800,"[16, 8]"
325,0.002,bgd,tanh,32,800,"[16, 16]"
326,0.01,bgd,sigmoid,32,800,"[16, 8]"
327,0.01,bgd,tanh,32,200,"[16, 8]"
328,0.01,bgd,sigmoid,32,200,"[16, 8]"
329,0.01,mbgd,sigmoid,32,800,"[16, 8]"
330,0.01,bgd,sigmoid,32,200,"[8, 16]"
331,0.01,bgd,sigmoid,32,200,"[16, 8]"
332,0.01,bgd,tanh,32,200,"[16, 16]"
333,0.002,mbgd,sigmoid,32,200,"[16, 8]"
334,0.002,bgd,tanh,32,800,"[16, 16]"
335,0.01,mbgd,tanh,32,800,"[16, 16]"
336,0.002,mbgd,tanh,32,200,"[16, 8]"
337,0.002,bgd,tanh,32,800,"[16, 8]"
338,0.002,mbgd,sigmoid,32,200,"[16, 16]"
339,0.01,mbgd,tanh,32,800,"[16, 8]"
340,0.002,bgd,tanh,32,200,"[8, 8, 8]"
341,0.002,bgd,sigmoid,32,800,"[16, 8]"
342,0.002,mbgd,tanh,32,800,"[16, 8]"
343,0.002,bgd,tanh,32,200,"[16, 8]"
344,0.002,bgd,tanh,32,200,"[8, 16]"
345,0.05,bgd,sigmoid,32,800,"[8, 8, 8]"
346,0.01,mbgd,tanh,32,200,"[16, 8]"
347,0.01,bgd,sigmoid,32,200,"[16, 16]"
348,0.05,mbgd,sigmoid,32,200,"[16, 16]"
349,0.002,bgd,sigmoid,32,800,"[16, 8]"
350,0.002,bgd,sigmoid,32,200,"[16, 16]"
351,0.05,sgd,signum,32,800,"[8, 16]"
352,0.002,sgd,relu,32,800,"[16, 16]"
353,0.05,bgd,sigmoid,16,800,"[16, 8]"
354,0.01,mbgd,tanh,16,800,[8]
355,0.01,mbgd,sigmoid,32,800,[16]
356,0.05,mbgd,sigmoid,16,200,"[16, 16]"
357,0.05,bgd,sigmoid,16,800,"[16, 16]"
358,0.01,bgd,tanh,32,200,"[16, 8]"
359,0.002,bgd,sigmoid,32,800,"[16, 16]"
360,0.002,bgd,sigmoid,32,200,"[16, 8]"
361,0.002,mbgd,tanh,32,800,"[8, 16]"
362,0.002,mbgd,sigmoid,32,800,"[16, 8]"
363,0.05,sgd,signum,16,800,[16]
364,0.002,bgd,relu,16,800,"[8, 8, 8]"
365,0.01,sgd,tanh,32,800,[8]
366,0.01,bgd,sigmoid,32,200,"[8, 8, 8]"
367,0.01,mbgd,signum,32,200,"[8, 8]"
368,0.002,sgd,tanh,32,800,"[8, 8, 8]"
369,0.002,bgd,relu,16,800,[8]
370,0.05,sgd,relu,16,800,"[16, 8]"
371,0.05,mbgd,signum,32,800,[16]
372,0.002,mbgd,signum,16,200,[16]
373,0.002,bgd,signum,32,800,"[16, 8]"
374,0.05,bgd,sigmoid,16,800,"[8, 8, 8]"
375,0.05,bgd,signum,32,800,"[8, 16]"
376,0.05,sgd,sigmoid,16,800,"[16, 8]"
377,0.002,mbgd,signum,16,200,[8]
378,0.002,mbgd,sigmoid,32,200,"[16, 8]"
379,0.01,bgd,relu,32,200,"[8, 8]"
380,0.05,bgd,relu,32,200,"[8, 8]"
381,0.002,mbgd,sigmoid,32,200,"[8, 16]"
382,0.05,sgd,signum,32,200,"[16, 8]"
383,0.01,bgd,tanh,32,800,"[8, 8]"
384,0.002,bgd,tanh,32,200,"[16, 16]"
385,0.002,mbgd,tanh,32,200,"[16, 16]"
386,0.002,sgd,signum,32,200,[16]
387,0.002,bgd,sigmoid,32,800,"[16, 8]"
388,0.002,bgd,sigmoid,32,800,"[16, 16]"
389,0.05,mbgd,sigmoid,32,200,"[16, 8]"
390,0.002,bgd,tanh,32,800,"[16, 8]"
391,0.002,bgd,tanh,32,800,"[8, 16]"
392,0.01,mbgd,tanh,32,200,"[8, 8, 8]"
393,0.002,mbgd,relu,16,800,"[8, 8, 8]"
394,0.002,bgd,sigmoid,32,200,"[16, 8]"
395,0.002,sgd,relu,16,800,"[8, 16]"
396,0.01,bgd,sigmoid,32,200,"[16, 8]"
397,0.002,mbgd,sigmoid,32,800,"[16, 8]"
398,0.002,bgd,tanh,32,200,"[8, 16]"
399,0.002,mbgd,tanh,32,200,"[16, 8]"
400,0.002,sgd,tanh,16,800,[16]
401,0.002,bgd,sigmoid,32,200,"[16, 16]"
402,0.002,bgd,tanh,32,200,"[16, 16]"
403,0.002,bgd,sigmoid,32,200,"[16, 16]"
404,0.01,bgd,sigmoid,32,800,"[8, 16]"
405,0.002,bgd,sigmoid,32,800,"[8, 16]"
406,0.002,bgd,sigmoid,32,800,"[8, 8]"
407,0.01,bgd,sigmoid,32,200,"[16, 16]"
408,0.002,bgd,tanh,32,200,"[16, 8]"
409,0.01,bgd,tanh,32,200,"[16, 8]"
410,0.01,bgd,sigmoid,32,200,"[16, 8]"
411,0.002,bgd,sigmoid,32,800,"[8, 16]"
412,0.002,bgd,sigmoid,32,800,"[8, 16]"
413,0.002,mbgd,sigmoid,32,200,"[8, 16]"
414,0.002,mbgd,sigmoid,32,200,"[8, 8, 8]"
415,0.002,bgd,tanh,32,200,"[16, 8]"
416,0.002,mbgd,sigmoid,32,200,"[16, 16]"
417,0.002,bgd,sigmoid,32,800,"[16, 8]"
418,0.002,bgd,tanh,32,200,"[8, 8, 8]"
419,0.002,bgd,tanh,32,200,"[8, 16]"
420,0.002,bgd,sigmoid,32,200,"[8, 16]"
421,0.01,mbgd,sigmoid,32,200,"[16, 8]"
422,0.002,bgd,sigmoid,32,800,"[16, 8]"
423,0.002,bgd,sigmoid,32,800,"[16, 8]"
424,0.002,mbgd,sigmoid,32,800,"[8, 8, 8]"
425,0.002,bgd,sigmoid,32,200,"[16, 8]"
426,0.01,bgd,sigmoid,32,800,"[8, 16]"
427,0.01,mbgd,tanh,32,200,"[16, 8]"
428,0.002,mbgd,sigmoid,32,800,"[16, 8]"
429,0.01,mbgd,sigmoid,32,200,"[8, 16]"
430,0.002,mbgd,sigmoid,32,200,"[16, 16]"
431,0.002,bgd,sigmoid,32,200,"[8, 16]"
432,0.05,bgd,sigmoid,16,200,"[8, 16]"
433,0.002,mbgd,tanh,32,200,"[8, 8]"
434,0.002,mbgd,sigmoid,32,800,"[16, 16]"
435,0.002,bgd,sigmoid,32,800,"[8, 16]"
436,0.002,bgd,sigmoid,32,200,"[8, 16]"
437,0.002,bgd,sigmoid,32,200,"[16, 8]"
438,0.002,bgd,tanh,32,800,"[16, 8]"
439,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
440,0.002,mbgd,sigmoid,32,200,"[16, 16]"
441,0.002,bgd,tanh,32,200,"[8, 16]"
442,0.002,bgd,sigmoid,32,200,"[16, 16]"
443,0.002,mbgd,tanh,32,200,"[16, 8]"
444,0.002,mbgd,sigmoid,32,800,"[16, 8]"
445,0.01,mbgd,sigmoid,32,200,"[8, 16]"
446,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
447,0.002,bgd,sigmoid,32,200,"[8, 8]"
448,0.002,bgd,sigmoid,32,800,"[16, 8]"
449,0.01,bgd,sigmoid,32,200,"[8, 8, 8]"
450,0.01,bgd,sigmoid,32,800,"[16, 8]"
451,0.01,bgd,sigmoid,32,200,"[8, 8, 8]"
452,0.002,bgd,sigmoid,32,800,"[16, 8]"
453,0.002,mbgd,tanh,32,800,"[8, 16]"
454,0.01,bgd,sigmoid,32,800,"[8, 16]"
455,0.002,bgd,sigmoid,32,800,"[8, 16]"
456,0.002,bgd,sigmoid,32,200,"[16, 16]"
457,0.002,bgd,sigmoid,32,200,"[8, 16]"
458,0.002,bgd,tanh,32,200,"[8, 16]"
459,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
460,0.002,mbgd,sigmoid,32,200,"[8, 8]"
461,0.01,mbgd,sigmoid,32,800,"[8, 16]"
462,0.01,mbgd,sigmoid,32,800,"[16, 16]"
463,0.002,bgd,sigmoid,32,200,"[8, 16]"
464,0.01,bgd,sigmoid,32,200,"[8, 8, 8]"
465,0.002,mbgd,sigmoid,32,200,"[8, 16]"
466,0.002,bgd,tanh,32,200,"[16, 8]"
467,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
468,0.002,mbgd,sigmoid,32,800,"[8, 8]"
469,0.002,bgd,sigmoid,32,200,"[8, 8]"
470,0.002,mbgd,sigmoid,32,800,"[16, 16]"
471,0.01,bgd,sigmoid,32,800,"[8, 8, 8]"
472,0.002,bgd,tanh,32,200,"[8, 16]"
473,0.05,sgd,tanh,32,200,"[8, 8, 8]"
474,0.002,mbgd,signum,32,800,"[8, 8]"
475,0.01,bgd,sigmoid,32,800,"[16, 16]"
476,0.01,sgd,sigmoid,32,800,[16]
477,0.002,bgd,sigmoid,32,800,"[8, 8]"
478,0.002,bgd,sigmoid,32,200,"[16, 16]"
479,0.002,bgd,signum,16,800,"[8, 8, 8]"
480,0.002,bgd,sigmoid,32,200,"[8, 16]"
481,0.002,mbgd,signum,16,800,"[8, 8, 8]"
482,0.01,mbgd,tanh,32,800,"[8, 8]"
483,0.01,mbgd,sigmoid,32,200,"[16, 16]"
484,0.01,bgd,sigmoid,32,200,"[16, 16]"
485,0.002,bgd,sigmoid,32,800,"[8, 8, 8]"
486,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
487,0.002,bgd,tanh,32,800,"[16, 16]"
488,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
489,0.002,bgd,sigmoid,32,200,"[16, 8]"
490,0.002,bgd,sigmoid,32,200,"[16, 8]"
491,0.002,bgd,sigmoid,32,200,"[8, 16]"
492,0.002,bgd,sigmoid,32,200,"[8, 8, 8]"
493,0.002,mbgd,sigmoid,32,200,"[16, 16]"
494,0.002,mbgd,sigmoid,32,200,"[16, 8]"
495,0.002,bgd,tanh,32,200,"[16, 8]"
496,0.002,mbgd,sigmoid,32,200,"[16, 16]"
497,0.01,bgd,tanh,32,200,"[16, 16]"
498,0.002,bgd,sigmoid,32,200,"[16, 16]"
499,0.002,bgd,tanh,32,800,"[16, 16]"
500,0.002,bgd,signum,16,800,"[8, 8, 8]"
501,0.002,bgd,sigmoid,32,200,"[16, 16]"
502,0.002,bgd,tanh,32,200,"[8, 8, 8]"
503,0.002,mbgd,sigmoid,32,200,"[8, 8, 8]"
504,0.002,mbgd,sigmoid,32,200,"[16, 8]"
505,0.002,bgd,sigmoid,32,200,"[8, 16]"
506,0.01,bgd,sigmoid,32,200,"[16, 16]"
