popularity,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre
41,266960,0.658,0.854,4,-6.796,0.0323,0.467,0.137,0.578,0.516,119.562,mpb
44,214000,0.641,0.66,2,-6.165,0.0371,0.0171,0.0,0.161,0.29,127.473,club
45,231794,0.646,0.836,10,-4.842,0.038,0.133,0.0,0.116,0.405,129.039,country
40,325821,0.513,0.43,0,-8.124,0.0271,0.715,0.000228,0.177,0.202,107.825,singer-songwriter
14,252286,0.754,0.88,6,-4.505,0.0482,0.0108,0.000829,0.355,0.786,118.991,breakbeat
35,208854,0.696,0.813,7,-5.243,0.0338,0.0984,0.00153,0.132,0.665,133.207,synth-pop
36,211373,0.552,0.798,11,-4.156,0.0511,0.0124,0.0,0.291,0.909,125.024,j-rock
8,182413,0.843,0.789,7,-2.801,0.247,0.0028,2.41e-05,0.0322,0.571,125.071,latino
26,266971,0.562,0.291,0,-12.642,0.0272,0.928,1.54e-05,0.094,0.254,128.433,show-tunes
0,249329,0.436,0.925,4,-2.174,0.19,0.148,4.35e-05,0.323,0.171,150.145,hardstyle
53,166693,0.741,0.792,1,-5.542,0.329,0.0551,0.0,0.317,0.797,98.52,trip-hop
61,152500,0.636,0.427,7,-7.908,0.0253,0.698,0.0,0.111,0.618,83.538,emo
24,145720,0.309,0.349,2,-8.402,0.0322,0.828,2.7e-06,0.0907,0.192,180.075,acoustic
47,217173,0.723,0.787,9,-6.047,0.0362,0.683,0.0,0.0858,0.883,139.951,pagode
44,246183,0.365,0.183,5,-16.458,0.0849,0.978,1.17e-05,0.375,0.129,117.608,sad
15,760138,0.254,0.67,0,-4.519,0.124,6.71e-05,0.696,0.133,0.196,90.286,black-metal
50,226206,0.715,0.989,1,0.176,0.0699,0.0155,0.608,0.147,0.401,173.99,drum-and-bass
79,184560,0.694,0.77,6,-5.335,0.149,0.176,1.1e-05,0.118,0.163,125.905,electro
57,176345,0.837,0.691,1,-4.982,0.147,0.0207,0.00361,0.198,0.648,140.047,hip-hop
65,296386,0.522,0.256,10,-11.216,0.0258,0.86,0.000806,0.142,0.13,76.349,acoustic
23,205730,0.753,0.992,5,-2.668,0.0479,0.149,0.0,0.0932,0.832,130.05,party
43,368613,0.636,0.931,11,-4.595,0.106,0.131,3e-06,0.837,0.592,104.355,mpb
48,177954,0.737,0.623,8,-4.67,0.0504,0.193,0.0,0.117,0.739,131.993,forro
26,247825,0.647,0.765,6,-4.176,0.0796,0.0012,0.00659,0.132,0.846,124.055,synth-pop
32,176000,0.692,0.788,2,-2.718,0.0397,0.0788,0.685,0.364,0.364,105.006,club
72,192497,0.661,0.517,5,-7.74,0.0406,0.223,0.0,0.116,0.241,84.014,songwriter
52,423533,0.835,0.943,1,-5.461,0.0466,0.173,0.0105,0.0646,0.886,116.033,synth-pop
46,126130,0.815,0.233,5,-12.326,0.0369,0.657,0.209,0.132,0.106,115.098,sad
42,162645,0.779,0.628,8,-5.771,0.127,0.0829,7.18e-05,0.128,0.21,99.938,j-dance
50,231853,0.641,0.757,8,-4.867,0.0326,0.0165,9.71e-05,0.0906,0.458,87.995,goth
0,131733,0.579,0.502,8,-7.57,0.0513,0.733,0.0,0.281,0.836,76.783,jazz
26,61480,0.637,0.387,0,-6.271,0.0372,0.757,0.0,0.267,0.881,83.271,show-tunes
38,269986,0.486,0.867,1,-5.237,0.0892,0.129,0.00176,0.0731,0.358,109.003,dub
0,149466,0.333,0.171,9,-9.88,0.0378,0.993,0.00164,0.092,0.136,68.796,opera
21,109230,0.885,0.571,0,-6.717,0.0796,0.0698,0.00016,0.0458,0.963,147.966,comedy
11,646000,0.776,0.483,8,-14.678,0.0705,0.051,0.38,0.128,0.0964,120.036,detroit-techno
10,349767,0.751,0.957,1,-6.472,0.0466,0.0242,0.803,0.257,0.926,129.006,idm
0,160050,0.565,0.234,7,-8.089,0.0286,0.723,0.000354,0.0854,0.484,85.274,country
53,193853,0.581,0.793,1,-5.949,0.0914,0.0084,0.0,0.183,0.352,130.902,swedish
42,301285,0.42,0.563,0,-5.093,0.026,0.619,0.0,0.117,0.236,140.055,gospel
54,218502,0.546,0.411,2,-9.308,0.0475,0.701,9.73e-05,0.0955,0.528,79.785,british
67,334000,0.403,0.134,6,-14.955,0.0353,0.469,0.0,0.113,0.258,182.894,hard-rock
46,204791,0.672,0.806,9,-2.986,0.0323,0.265,0.0,0.135,0.798,144.005,forro
65,219720,0.619,0.696,7,-6.269,0.0315,1.89e-05,0.00555,0.38,0.727,125.986,hard-rock
43,162352,0.502,0.877,7,-2.847,0.0746,0.0129,0.0,0.244,0.696,170.123,country
17,156096,0.488,0.209,2,-13.31,0.0402,0.808,3.13e-05,0.0792,0.456,96.268,tango
